INFO:root:/homes/hf17/Documents/Paper/E3DNet/tools/finetuning_E3DNet.py --gpus 0,1,2,3,4 --output ./ckpt/E3DNet_ckpt_ucf101 --pretrained_dir ./ckpt/E3DNet_ckpt_kinetics --model_prefix test --load_epoch 26 --cudnn_tune fastest --batch_per_device 8 --n_frame 16 --lr 0.0001 --wd 0.005 --num_class 101 --num_epoch 15 --datadir /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/ --lr_scheduler_step 15
INFO:root:Namespace(batch_per_device=8, batch_size=16, begin_epoch=0, bn_mom=0.9, crop_size=112, cudnn_tune='fastest', datadir='/mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/', epoch_size=100000, gpus='0,1,2,3,4', load_epoch=26, lr=0.0001, lr_scheduler_factor=0.1, lr_scheduler_step=15, model_depth=34, model_prefix='test', momentum=0.9, n_frame=16, num_class=101, num_epoch=15, optimizer='sgd', output='./ckpt/E3DNet_ckpt_ucf101', plot=0, pretrained_dir='./ckpt/E3DNet_ckpt_kinetics', scale_h=128, scale_w=171, wd=0.005, workspace=512)
INFO:root:number of gpu 5
INFO:root:Running on GPUs: [0, 1, 2, 3, 4]
INFO:root:Using epoch size: 100000
INFO:lib.data:load data from /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/, num clip_lst 9537
INFO:lib.data:load data from /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/, num clip_lst 3783
INFO:root:Epoch[1] Batch [1140-1160]	Speed: 16.46 samples/sec	accuracy=0.677500
INFO:root:Epoch[1] Batch [1160-1180]	Speed: 16.45 samples/sec	accuracy=0.671250
INFO:root:Epoch[1] Batch [1180-1200]	Speed: 16.53 samples/sec	accuracy=0.693750
INFO:root:Epoch[1] Batch [1200-1220]	Speed: 16.45 samples/sec	accuracy=0.672500
INFO:root:Epoch[1] Batch [1220-1240]	Speed: 16.50 samples/sec	accuracy=0.693750
INFO:root:Epoch[1] Batch [1240-1260]	Speed: 16.48 samples/sec	accuracy=0.692500
INFO:root:Epoch[1] Batch [1260-1280]	Speed: 16.57 samples/sec	accuracy=0.695000
INFO:root:Epoch[1] Batch [1280-1300]	Speed: 16.55 samples/sec	accuracy=0.666250
INFO:root:Epoch[1] Batch [1300-1320]	Speed: 16.47 samples/sec	accuracy=0.678750
INFO:root:Epoch[1] Batch [1320-1340]	Speed: 16.49 samples/sec	accuracy=0.721250
INFO:root:Epoch[1] Batch [1340-1360]	Speed: 16.46 samples/sec	accuracy=0.728750
INFO:root:Epoch[1] Batch [1360-1380]	Speed: 16.48 samples/sec	accuracy=0.705000
INFO:root:Epoch[1] Batch [1380-1400]	Speed: 16.45 samples/sec	accuracy=0.701250
INFO:root:Epoch[1] Batch [1400-1420]	Speed: 16.55 samples/sec	accuracy=0.710000
INFO:root:Epoch[1] Batch [1420-1440]	Speed: 16.51 samples/sec	accuracy=0.706250
INFO:root:Epoch[1] Batch [1440-1460]	Speed: 16.53 samples/sec	accuracy=0.710000
INFO:root:Epoch[1] Batch [1460-1480]	Speed: 16.61 samples/sec	accuracy=0.721250
INFO:root:Epoch[1] Batch [1480-1500]	Speed: 16.43 samples/sec	accuracy=0.708750
INFO:root:Epoch[1] Batch [1500-1520]	Speed: 16.51 samples/sec	accuracy=0.696250
INFO:root:Epoch[1] Batch [1520-1540]	Speed: 16.55 samples/sec	accuracy=0.695000
INFO:root:Epoch[1] Batch [1540-1560]	Speed: 16.46 samples/sec	accuracy=0.735000
INFO:root:Epoch[1] Batch [1560-1580]	Speed: 16.53 samples/sec	accuracy=0.733750
INFO:root:Epoch[1] Batch [1580-1600]	Speed: 16.49 samples/sec	accuracy=0.732500
INFO:root:Epoch[1] Batch [1600-1620]	Speed: 16.44 samples/sec	accuracy=0.723750
INFO:root:Epoch[1] Batch [1620-1640]	Speed: 16.51 samples/sec	accuracy=0.721250
INFO:root:Epoch[1] Batch [1640-1660]	Speed: 16.49 samples/sec	accuracy=0.722500
INFO:root:Epoch[1] Batch [1660-1680]	Speed: 16.53 samples/sec	accuracy=0.733750
INFO:root:Epoch[1] Batch [1680-1700]	Speed: 16.46 samples/sec	accuracy=0.710000
INFO:root:Epoch[1] Batch [1700-1720]	Speed: 16.52 samples/sec	accuracy=0.716250
