INFO:root:finetuing_m3d1_kinetics_ucf101_dif_frame.py --gpus 1,2,3,4 --output ./cr_m3d1_101_output_kinetics_ucf101_step10/ --pretrained_dir ./m3d1_50_3gpu_kinetics --model_prefix test --load_epoch 26 --cudnn_tune fastest --batch_per_device 16 --n_frame 14 --lr 0.0001 --wd 0.005 --num_class 101 --num_epoch 15 --datadir /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/ --lr_scheduler_step 10
INFO:root:Namespace(batch_per_device=16, batch_size=16, begin_epoch=0, bn_mom=0.9, crop_size=112, cudnn_tune='fastest', datadir='/mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/', epoch_size=100000, gpus='1,2,3,4', load_epoch=26, lr=0.0001, lr_scheduler_factor=0.1, lr_scheduler_step=10, model_depth=34, model_prefix='test', momentum=0.9, n_frame=14, num_class=101, num_epoch=15, optimizer='sgd', output='./cr_m3d1_101_output_kinetics_ucf101_step10/', plot=0, pretrained_dir='./m3d1_50_3gpu_kinetics', scale_h=128, scale_w=171, wd=0.005, workspace=512)
INFO:root:number of gpu 4
INFO:root:Running on GPUs: [1, 2, 3, 4]
INFO:root:Using epoch size: 99968
INFO:data:load data from /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/, num clip_lst 9537
INFO:data:load data from /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/, num clip_lst 3783
DEBUG:matplotlib.font_manager:findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans (u'/home/hf17/Tool/anaconda2/envs/mxnet/lib/python2.7/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
INFO:root:Epoch[1] Batch [980-1000]	Speed: 22.55 samples/sec	accuracy=0.782031
INFO:root:Epoch[1] Batch [1000-1020]	Speed: 22.44 samples/sec	accuracy=0.782031
INFO:root:Epoch[1] Batch [1020-1040]	Speed: 22.53 samples/sec	accuracy=0.762500
INFO:root:Epoch[1] Batch [1040-1060]	Speed: 22.49 samples/sec	accuracy=0.790625
INFO:root:Epoch[1] Batch [1060-1080]	Speed: 22.47 samples/sec	accuracy=0.758594
INFO:root:Epoch[1] Batch [1080-1100]	Speed: 22.58 samples/sec	accuracy=0.783594
INFO:root:Epoch[1] Batch [1100-1120]	Speed: 22.58 samples/sec	accuracy=0.791406
INFO:root:Epoch[1] Batch [1120-1140]	Speed: 22.51 samples/sec	accuracy=0.789062
INFO:root:Epoch[1] Batch [1140-1160]	Speed: 22.49 samples/sec	accuracy=0.792969
INFO:root:Epoch[1] Batch [1160-1180]	Speed: 22.56 samples/sec	accuracy=0.775781
INFO:root:Epoch[1] Batch [1180-1200]	Speed: 22.53 samples/sec	accuracy=0.787500
INFO:root:Epoch[1] Batch [1200-1220]	Speed: 22.60 samples/sec	accuracy=0.791406
INFO:root:Epoch[1] Batch [1220-1240]	Speed: 22.48 samples/sec	accuracy=0.782813
INFO:root:Epoch[1] Batch [1240-1260]	Speed: 22.53 samples/sec	accuracy=0.807813
INFO:root:Epoch[1] Batch [1260-1280]	Speed: 22.49 samples/sec	accuracy=0.810937
INFO:root:Epoch[1] Batch [1280-1300]	Speed: 22.50 samples/sec	accuracy=0.792969
INFO:root:Epoch[1] Batch [1300-1320]	Speed: 22.41 samples/sec	accuracy=0.795312
INFO:root:Epoch[1] Batch [1320-1340]	Speed: 22.53 samples/sec	accuracy=0.797656
INFO:root:Epoch[1] Batch [1340-1360]	Speed: 22.51 samples/sec	accuracy=0.798438
INFO:root:Epoch[1] Batch [1360-1380]	Speed: 22.51 samples/sec	accuracy=0.788281
INFO:root:Epoch[1] Batch [1380-1400]	Speed: 22.52 samples/sec	accuracy=0.805469
INFO:root:Epoch[1] Batch [1400-1420]	Speed: 22.47 samples/sec	accuracy=0.793750
INFO:root:Epoch[1] Batch [1420-1440]	Speed: 22.54 samples/sec	accuracy=0.821094
INFO:root:Epoch[1] Batch [1440-1460]	Speed: 22.52 samples/sec	accuracy=0.819531
INFO:root:Epoch[1] Batch [1460-1480]	Speed: 22.56 samples/sec	accuracy=0.810937
INFO:root:Epoch[1] Batch [1480-1500]	Speed: 22.62 samples/sec	accuracy=0.807031
INFO:root:Epoch[1] Batch [1500-1520]	Speed: 22.43 samples/sec	accuracy=0.814063
INFO:root:Epoch[1] Batch [1520-1540]	Speed: 22.51 samples/sec	accuracy=0.802344
INFO:root:Epoch[1] Batch [1540-1560]	Speed: 22.50 samples/sec	accuracy=0.825781
INFO:root:Epoch[1] Train-accuracy=0.753431
INFO:root:Epoch[1] Time cost=4434.472
INFO:root:Saved checkpoint to "./cr_m3d1_101_output_kinetics_ucf101_step10//test-0002.params"
INFO:root:Epoch[1] Validation-accuracy=0.747656
INFO:root:Epoch[2] Batch [0-20]	Speed: 22.48 samples/sec	accuracy=0.820685
INFO:root:Epoch[2] Batch [20-40]	Speed: 22.51 samples/sec	accuracy=0.821094
INFO:root:Epoch[2] Batch [40-60]	Speed: 22.45 samples/sec	accuracy=0.828125
INFO:root:Epoch[2] Batch [60-80]	Speed: 22.51 samples/sec	accuracy=0.818750
INFO:root:Epoch[2] Batch [80-100]	Speed: 22.59 samples/sec	accuracy=0.808594
INFO:root:Epoch[2] Batch [100-120]	Speed: 22.46 samples/sec	accuracy=0.797656
INFO:root:Epoch[2] Batch [120-140]	Speed: 22.42 samples/sec	accuracy=0.810937
INFO:root:Epoch[2] Batch [140-160]	Speed: 22.55 samples/sec	accuracy=0.833594
INFO:root:Epoch[2] Batch [160-180]	Speed: 22.49 samples/sec	accuracy=0.832812
INFO:root:Epoch[2] Batch [180-200]	Speed: 22.47 samples/sec	accuracy=0.831250
INFO:root:Epoch[2] Batch [200-220]	Speed: 22.53 samples/sec	accuracy=0.815625
INFO:root:Epoch[2] Batch [220-240]	Speed: 22.52 samples/sec	accuracy=0.846094
INFO:root:Epoch[2] Batch [240-260]	Speed: 22.49 samples/sec	accuracy=0.814063
INFO:root:Epoch[2] Batch [260-280]	Speed: 22.50 samples/sec	accuracy=0.810937
INFO:root:Epoch[2] Batch [280-300]	Speed: 22.49 samples/sec	accuracy=0.825000
INFO:root:Epoch[2] Batch [300-320]	Speed: 22.55 samples/sec	accuracy=0.842969
